Frequency,CMD,S11_r,S11_x,S21_r,S21_x,S12_r,S12_x,S22_r,S22_x
1.29E+07,caps hf  0 0 1 7,-5.33E-01,1.44E-01,1.68E-01,7.78E-01,1.68E-01,7.78E-01,-5.33E-01,9.68E-02
1.29E+07,caps hf  0 0 1 8,-5.33E-01,1.43E-01,1.68E-01,7.78E-01,1.69E-01,7.78E-01,-5.33E-01,9.82E-02
1.29E+07,caps hf  0 0 1 9,-5.33E-01,1.43E-01,1.69E-01,7.78E-01,1.69E-01,7.78E-01,-5.32E-01,9.96E-02
1.29E+07,caps hf  0 0 1 10,-5.33E-01,1.42E-01,1.70E-01,7.78E-01,1.70E-01,7.78E-01,-5.32E-01,1.01E-01
1.29E+07,caps hf  0 0 1 11,-5.33E-01,1.42E-01,1.71E-01,7.78E-01,1.71E-01,7.78E-01,-5.31E-01,1.02E-01
1.29E+07,caps hf  0 0 1 12,-5.33E-01,1.41E-01,1.71E-01,7.78E-01,1.72E-01,7.78E-01,-5.31E-01,1.04E-01
1.29E+07,caps hf  0 0 1 13,-5.33E-01,1.41E-01,1.72E-01,7.78E-01,1.72E-01,7.78E-01,-5.31E-01,1.05E-01
1.29E+07,caps hf  0 0 1 14,-5.33E-01,1.41E-01,1.73E-01,7.78E-01,1.73E-01,7.78E-01,-5.30E-01,1.06E-01
1.29E+07,caps hf  0 0 1 15,-5.32E-01,1.40E-01,1.74E-01,7.78E-01,1.74E-01,7.78E-01,-5.30E-01,1.08E-01
1.29E+07,caps hf  0 0 1 16,-5.33E-01,1.38E-01,1.78E-01,7.77E-01,1.78E-01,7.78E-01,-5.28E-01,1.16E-01
1.29E+07,caps hf  0 0 1 17,-5.33E-01,1.38E-01,1.79E-01,7.77E-01,1.79E-01,7.78E-01,-5.28E-01,1.17E-01
1.29E+07,caps hf  0 0 1 18,-5.33E-01,1.37E-01,1.80E-01,7.77E-01,1.80E-01,7.77E-01,-5.27E-01,1.19E-01
1.29E+07,caps hf  0 0 1 19,-5.33E-01,1.37E-01,1.80E-01,7.77E-01,1.80E-01,7.77E-01,-5.27E-01,1.20E-01
1.29E+07,caps hf  0 0 1 20,-5.33E-01,1.37E-01,1.81E-01,7.76E-01,1.81E-01,7.77E-01,-5.26E-01,1.21E-01
1.29E+07,caps hf  0 0 1 21,-5.33E-01,1.36E-01,1.82E-01,7.76E-01,1.82E-01,7.77E-01,-5.26E-01,1.23E-01
1.29E+07,caps hf  0 0 1 22,-5.33E-01,1.36E-01,1.83E-01,7.76E-01,1.83E-01,7.76E-01,-5.25E-01,1.24E-01
1.29E+07,caps hf  0 0 1 23,-5.33E-01,1.35E-01,1.83E-01,7.76E-01,1.83E-01,7.76E-01,-5.25E-01,1.25E-01
1.29E+07,caps hf  0 0 1 24,-5.33E-01,1.35E-01,1.84E-01,7.76E-01,1.84E-01,7.76E-01,-5.24E-01,1.27E-01
1.29E+07,caps hf  0 0 1 25,-5.33E-01,1.35E-01,1.85E-01,7.76E-01,1.85E-01,7.76E-01,-5.24E-01,1.28E-01
1.29E+07,caps hf  0 0 1 26,-5.33E-01,1.34E-01,1.85E-01,7.76E-01,1.86E-01,7.76E-01,-5.23E-01,1.29E-01
1.29E+07,caps hf  0 0 1 27,-5.33E-01,1.34E-01,1.86E-01,7.75E-01,1.86E-01,7.75E-01,-5.23E-01,1.31E-01
1.29E+07,caps hf  0 0 1 28,-5.33E-01,1.34E-01,1.87E-01,7.75E-01,1.87E-01,7.75E-01,-5.22E-01,1.32E-01
1.29E+07,caps hf  0 0 1 29,-5.33E-01,1.33E-01,1.88E-01,7.75E-01,1.88E-01,7.75E-01,-5.22E-01,1.33E-01
1.29E+07,caps hf  0 0 1 30,-5.33E-01,1.33E-01,1.88E-01,7.75E-01,1.89E-01,7.75E-01,-5.21E-01,1.35E-01
1.29E+07,caps hf  0 0 1 31,-5.33E-01,1.32E-01,1.89E-01,7.75E-01,1.89E-01,7.75E-01,-5.21E-01,1.36E-01
1.29E+07,caps hf  0 0 1 32,-5.34E-01,1.30E-01,1.94E-01,7.74E-01,1.95E-01,7.73E-01,-5.18E-01,1.47E-01
1.29E+07,caps hf  0 0 1 33,-5.34E-01,1.29E-01,1.95E-01,7.74E-01,1.95E-01,7.73E-01,-5.17E-01,1.49E-01
1.29E+07,caps hf  0 0 1 34,-5.34E-01,1.29E-01,1.96E-01,7.74E-01,1.96E-01,7.73E-01,-5.17E-01,1.50E-01
1.29E+07,caps hf  0 0 1 35,-5.34E-01,1.29E-01,1.97E-01,7.73E-01,1.97E-01,7.73E-01,-5.16E-01,1.51E-01
1.29E+07,caps hf  0 0 1 36,-5.34E-01,1.28E-01,1.97E-01,7.73E-01,1.97E-01,7.73E-01,-5.16E-01,1.52E-01
1.29E+07,caps hf  0 0 1 37,-5.34E-01,1.28E-01,1.98E-01,7.73E-01,1.98E-01,7.73E-01,-5.15E-01,1.54E-01
1.29E+07,caps hf  0 0 1 38,-5.34E-01,1.28E-01,1.99E-01,7.73E-01,1.99E-01,7.73E-01,-5.15E-01,1.55E-01
1.29E+07,caps hf  0 0 1 39,-5.34E-01,1.27E-01,2.00E-01,7.73E-01,2.00E-01,7.72E-01,-5.14E-01,1.56E-01
1.29E+07,caps hf  0 0 1 40,-5.34E-01,1.27E-01,2.00E-01,7.72E-01,2.00E-01,7.72E-01,-5.14E-01,1.58E-01
1.29E+07,caps hf  0 0 1 41,-5.34E-01,1.26E-01,2.01E-01,7.72E-01,2.01E-01,7.72E-01,-5.13E-01,1.59E-01
1.29E+07,caps hf  0 0 1 42,-5.34E-01,1.26E-01,2.02E-01,7.72E-01,2.02E-01,7.72E-01,-5.13E-01,1.60E-01
1.29E+07,caps hf  0 0 1 43,-5.34E-01,1.26E-01,2.03E-01,7.72E-01,2.03E-01,7.72E-01,-5.12E-01,1.62E-01
1.29E+07,caps hf  0 0 1 44,-5.34E-01,1.25E-01,2.03E-01,7.72E-01,2.03E-01,7.72E-01,-5.12E-01,1.63E-01
1.29E+07,caps hf  0 0 1 45,-5.34E-01,1.25E-01,2.04E-01,7.72E-01,2.04E-01,7.72E-01,-5.11E-01,1.64E-01
1.29E+07,caps hf  0 0 1 46,-5.34E-01,1.25E-01,2.05E-01,7.71E-01,2.05E-01,7.72E-01,-5.11E-01,1.65E-01
1.29E+07,caps hf  0 0 1 47,-5.34E-01,1.24E-01,2.06E-01,7.71E-01,2.05E-01,7.71E-01,-5.10E-01,1.67E-01
1.29E+07,caps hf  0 0 1 48,-5.35E-01,1.22E-01,2.09E-01,7.71E-01,2.08E-01,7.71E-01,-5.08E-01,1.74E-01
1.29E+07,caps hf  0 0 1 49,-5.35E-01,1.21E-01,2.10E-01,7.71E-01,2.09E-01,7.71E-01,-5.07E-01,1.75E-01
1.29E+07,caps hf  0 0 1 50,-5.35E-01,1.21E-01,2.11E-01,7.71E-01,2.10E-01,7.70E-01,-5.07E-01,1.76E-01
1.29E+07,caps hf  0 0 1 51,-5.35E-01,1.21E-01,2.11E-01,7.70E-01,2.11E-01,7.70E-01,-5.06E-01,1.78E-01
1.29E+07,caps hf  0 0 1 52,-5.35E-01,1.20E-01,2.12E-01,7.70E-01,2.11E-01,7.70E-01,-5.06E-01,1.79E-01
1.29E+07,caps hf  0 0 1 53,-5.35E-01,1.20E-01,2.13E-01,7.70E-01,2.12E-01,7.70E-01,-5.05E-01,1.80E-01
1.29E+07,caps hf  0 0 1 54,-5.35E-01,1.20E-01,2.13E-01,7.70E-01,2.13E-01,7.70E-01,-5.05E-01,1.81E-01
1.29E+07,caps hf  0 0 1 55,-5.35E-01,1.20E-01,2.14E-01,7.70E-01,2.13E-01,7.70E-01,-5.04E-01,1.83E-01
