Frequency,CMD,S11_r,S11_x,S21_r,S21_x,S12_r,S12_x,S22_r,S22_x
12.9e6,caps hf ps1 0 0 5 31,-5.58104750703E-001,+3.05554953792E-002,+4.62709014274E-001,+6.38227257749E-001,+4.63101069233E-001,+6.38009054923E-001,-1.70920309867E-001,+5.20075946216E-001,
12.9e6,caps hf ps1 0 0 5 32,-5.59605735091E-001,+2.91372443625E-002,+4.66058053417E-001,+6.35489513358E-001,+4.65265659960E-001,+6.35741328972E-001,-1.65552244987E-001,+5.23207888336E-001,
12.9e6,caps hf ps1 0 0 5 47,-5.61919734754E-001,+2.64295382115E-002,+4.70342134218E-001,+6.30082615270E-001,+4.69264212532E-001,+6.30477478577E-001,-1.53351133103E-001,+5.28604465205E-001,
12.9e6,caps hf ps1 0 0 5 48,-5.62738783536E-001,+2.59851704412E-002,+4.71120845740E-001,+6.28513589783E-001,+4.71230405470E-001,+6.28475634117E-001,-1.49681624991E-001,+5.31312230050E-001,
12.9e6,caps hf ps1 0 0 5 63,-5.64435190629E-001,+2.31688185548E-002,+4.74959165821E-001,+6.23604829008E-001,+4.75220389811E-001,+6.23276504346E-001,-1.37596959400E-001,+5.37286571696E-001,
12.9e6,caps hf ps1 0 0 6 0,-5.64250261646E-001,+2.30523701300E-002,+4.74711231526E-001,+6.24057828949E-001,+4.74679576914E-001,+6.24300611912E-001,-1.40480743172E-001,+5.36992550165E-001,
12.9e6,caps hf ps1 0 0 6 15,-5.67355774370E-001,+2.03327954434E-002,+4.78755263503E-001,+6.19193363981E-001,+4.79215445135E-001,+6.18578844806E-001,-1.29362219439E-001,+5.41697646761E-001,
12.9e6,caps hf ps1 0 0 6 16,-5.67796750475E-001,+2.01323345232E-002,+4.80063458859E-001,+6.17552548783E-001,+4.79700495282E-001,+6.16499065935E-001,-1.25878551877E-001,+5.43136770729E-001,
12.9e6,caps hf ps1 0 0 6 31,-5.69842304991E-001,+1.72371317461E-002,+4.83311459438E-001,+6.12714300476E-001,+4.84218344053E-001,+6.10835091991E-001,-1.15066086976E-001,+5.48208326236E-001,
12.9e6,caps hf ps1 0 0 6 32,-5.71508576420E-001,+1.61931606824E-002,+4.85256253169E-001,+6.09902995798E-001,+4.84527961928E-001,+6.10358136040E-001,-1.10469234863E-001,+5.50119094352E-001,
12.9e6,caps hf ps1 0 0 6 47,-5.72226488373E-001,+1.38546451359E-002,+4.88057334621E-001,+6.04901279970E-001,+4.89112134283E-001,+6.04572769475E-001,-9.97787791504E-002,+5.54550367457E-001,
12.9e6,caps hf ps1 0 0 6 48,-5.73681546484E-001,+1.33884841883E-002,+4.89334048979E-001,+6.03307444895E-001,+4.89967106876E-001,+6.02387908099E-001,-9.64646489525E-002,+5.55886737491E-001,
12.9e6,caps hf ps1 0 0 6 63,-5.75871012684E-001,+1.14760678547E-002,+4.93111303628E-001,+5.97689288344E-001,+4.93557213785E-001,+5.98380463034E-001,-8.60296417301E-002,+5.60346881382E-001,
12.9e6,caps hf ps1 0 15 0 0,-5.41169056512E-001,+2.40331584345E-001,+2.21058513935E-001,+7.32630834359E-001,+2.21626842463E-001,+7.32205245050E-001,-5.71709777083E-001,+1.06905821993E-001,
12.9e6,caps hf ps1 0 15 0 15,-5.40593548624E-001,+2.32781814206E-001,+2.36074048038E-001,+7.30091861568E-001,+2.36167135245E-001,+7.29828275806E-001,-5.61821437620E-001,+1.36795755050E-001,
12.9e6,caps hf ps1 0 15 0 16,-5.41518245311E-001,+2.30802531389E-001,+2.41121727332E-001,+7.29525909421E-001,+2.40556556011E-001,+7.29142621905E-001,-5.58827945587E-001,+1.45648598521E-001,
12.9e6,caps hf ps1 0 15 0 31,-5.41691085024E-001,+2.23433522177E-001,+2.55918356990E-001,+7.25928824410E-001,+2.54817305474E-001,+7.26168696875E-001,-5.48096711086E-001,+1.73137723092E-001,
12.9e6,caps hf ps1 0 15 0 32,-5.41755911204E-001,+2.18555912071E-001,+2.61917440318E-001,+7.23880608281E-001,+2.62430872842E-001,+7.25000843726E-001,-5.41834595248E-001,+1.87158716520E-001,
12.9e6,caps hf ps1 0 15 0 47,-5.43130711401E-001,+2.12207741818E-001,+2.76385219808E-001,+7.20367676355E-001,+2.76291330085E-001,+7.21066505597E-001,-5.30013270721E-001,+2.13440733957E-001,
12.9e6,caps hf ps1 0 15 0 48,-5.43686895220E-001,+2.10708490610E-001,+2.80448255231E-001,+7.19205216024E-001,+2.80050024495E-001,+7.19663679519E-001,-5.26123342425E-001,+2.21268049528E-001,
12.9e6,caps hf ps1 0 15 0 63,-5.44176628602E-001,+2.04007005932E-001,+2.93592616344E-001,+7.14655210400E-001,+2.93111702934E-001,+7.15904340805E-001,-5.13601352400E-001,+2.45683473932E-001,
12.9e6,caps hf ps1 0 15 1 0,-5.44834263125E-001,+2.01813580670E-001,+2.97661619234E-001,+7.13407621403E-001,+2.97913639324E-001,+7.14002987377E-001,-5.10096263015E-001,+2.53388438931E-001,
12.9e6,caps hf ps1 0 15 1 15,-5.46213256455E-001,+1.95903796435E-001,+3.10017770601E-001,+7.08755097407E-001,+3.10496791208E-001,+7.08880628800E-001,-4.96206508706E-001,+2.77369125513E-001,
12.9e6,caps hf ps1 0 15 1 16,-5.47048411533E-001,+1.94286543654E-001,+3.14274182897E-001,+7.07298856797E-001,+3.13509948365E-001,+7.06940380666E-001,-4.91580219914E-001,+2.83641129674E-001,
12.9e6,caps hf ps1 0 15 1 31,-5.48913593461E-001,+1.87661182391E-001,+3.25887000794E-001,+7.02178854260E-001,+3.25790927077E-001,+7.02127552392E-001,-4.78172914264E-001,+3.05689459206E-001,
12.9e6,caps hf ps1 0 15 1 32,-5.50048771175E-001,+1.84372122823E-001,+3.31676246437E-001,+6.99735783512E-001,+3.30783116255E-001,+7.00075342053E-001,-4.71250727204E-001,+3.15940686190E-001,
12.9e6,caps hf ps1 0 15 1 47,-5.51779694529E-001,+1.78366585173E-001,+3.42002005693E-001,+6.93971247197E-001,+3.41809387020E-001,+6.93402948817E-001,-4.55841967397E-001,+3.36209966327E-001,
12.9e6,caps hf ps1 0 15 1 48,-5.52025880783E-001,+1.77013362632E-001,+3.45418774281E-001,+6.92377357234E-001,+3.45685663873E-001,+6.91730042225E-001,-4.51344684804E-001,+3.42788626717E-001,
12.9e6,caps hf ps1 0 15 1 63,-5.54245068408E-001,+1.71233757055E-001,+3.55878859881E-001,+6.86633119727E-001,+3.55922776893E-001,+6.87439701481E-001,-4.37473598657E-001,+3.61820781572E-001,
12.9e6,caps hf ps1 0 15 2 0,-5.55943995213E-001,+1.68826078493E-001,+3.60206713872E-001,+6.84109292855E-001,+3.59892231034E-001,+6.84193920062E-001,-4.31126743212E-001,+3.69935033088E-001,
12.9e6,caps hf ps1 0 15 2 15,-5.57785381581E-001,+1.63679979050E-001,+3.69690311673E-001,+6.78204402914E-001,+3.70700441578E-001,+6.78235057502E-001,-4.16164602588E-001,+3.87752871105E-001,
12.9e6,caps hf ps1 0 15 2 16,-5.58618744312E-001,+1.62084247323E-001,+3.73198657342E-001,+6.75961270201E-001,+3.72502503722E-001,+6.76881661195E-001,-4.11373401661E-001,+3.93170610387E-001,
12.9e6,caps hf ps1 0 15 2 31,-5.60997509168E-001,+1.57148587439E-001,+3.82680171950E-001,+6.70373794077E-001,+3.82300750105E-001,+6.70780771223E-001,-3.96103344886E-001,+4.08567130253E-001,
12.9e6,caps hf ps1 0 15 2 32,-5.62578205829E-001,+1.55825763346E-001,+3.87701643838E-001,+6.66864438214E-001,+3.86875444709E-001,+6.67997041638E-001,-3.88942196911E-001,+4.17100939322E-001,
12.9e6,caps hf ps1 0 15 2 47,-5.64948093040E-001,+1.50185342937E-001,+3.95295043486E-001,+6.61207731366E-001,+3.95867076430E-001,+6.61052283294E-001,-3.73162118349E-001,+4.32354111718E-001,
12.9e6,caps hf ps1 0 15 2 48,-5.65997521425E-001,+1.49498693881E-001,+3.98134527908E-001,+6.58563942601E-001,+3.98079960931E-001,+6.58130615775E-001,-3.68224417086E-001,+4.37314457885E-001,
12.9e6,caps hf ps1 0 15 2 63,-5.67723558004E-001,+1.44916313091E-001,+4.06541044457E-001,+6.52463424045E-001,+4.05925012502E-001,+6.52424333311E-001,-3.53180263370E-001,+4.50822597737E-001,
12.9e6,caps hf ps1 0 15 3 0,-5.69138798485E-001,+1.43182564563E-001,+4.09227387392E-001,+6.50122402843E-001,+4.09514148994E-001,+6.50116953278E-001,-3.48924376068E-001,+4.56253209729E-001,
12.9e6,caps hf ps1 0 15 3 15,-5.71706465292E-001,+1.38182718989E-001,+4.17185626510E-001,+6.43906568815E-001,+4.16631566415E-001,+6.43501974702E-001,-3.32805986628E-001,+4.70020633546E-001,
12.9e6,caps hf ps1 0 15 3 16,-5.72731003133E-001,+1.38109903249E-001,+4.18814824192E-001,+6.41386684589E-001,+4.19408508624E-001,+6.42406784553E-001,-3.28459112419E-001,+4.73526116988E-001,
12.9e6,caps hf ps1 0 15 3 31,-5.75191128160E-001,+1.34154442736E-001,+4.26334931504E-001,+6.35268661213E-001,+4.26771934932E-001,+6.35537391313E-001,-3.13195885230E-001,+4.85804915530E-001,
12.9e6,caps hf ps1 0 15 3 32,-5.76968968003E-001,+1.31506098711E-001,+4.30140056167E-001,+6.32969420693E-001,+4.30276582349E-001,+6.32418763549E-001,-3.05861520049E-001,+4.91585363492E-001,
12.9e6,caps hf ps1 0 15 3 47,-5.78824408703E-001,+1.28522932324E-001,+4.35581676955E-001,+6.25946944542E-001,+4.36207287019E-001,+6.26295821680E-001,-2.90996229986E-001,+5.02311452642E-001,
12.9e6,caps hf ps1 0 15 3 48,-5.80180548968E-001,+1.27616590163E-001,+4.38480933776E-001,+6.24197946712E-001,+4.38044944603E-001,+6.24620850584E-001,-2.86797537490E-001,+5.05716059622E-001,
12.9e6,caps hf ps1 0 15 3 63,-5.83160245407E-001,+1.23702222394E-001,+4.43900018557E-001,+6.17784669075E-001,+4.44374217868E-001,+6.17770419321E-001,-2.72433170861E-001,+5.15813014510E-001,
12.9e6,caps hf ps1 0 15 4 0,-5.82912321647E-001,+1.23529019075E-001,+4.44335558171E-001,+6.17368928649E-001,+4.45226485068E-001,+6.17947320646E-001,-2.72281162030E-001,+5.16887000112E-001,
12.9e6,caps hf ps1 0 15 4 15,-5.86272751268E-001,+1.20253467795E-001,+4.50650404825E-001,+6.11711864038E-001,+4.51523404914E-001,+6.11319718142E-001,-2.57312007589E-001,+5.27320778435E-001,
12.9e6,caps hf ps1 0 15 4 16,-5.86865540439E-001,+1.19849035627E-001,+4.53157745475E-001,+6.09253867086E-001,+4.51965846763E-001,+6.08876128092E-001,-2.52665642322E-001,+5.29878552307E-001,
12.9e6,caps hf ps1 0 15 4 31,-5.89570210366E-001,+1.16237318599E-001,+4.58039868041E-001,+6.03691531211E-001,+4.57924531775E-001,+6.03186738493E-001,-2.38483823129E-001,+5.38637247700E-001,
12.9e6,caps hf ps1 0 15 4 32,-5.91156147411E-001,+1.14528144347E-001,+4.60001448744E-001,+6.00273728068E-001,+4.60431763042E-001,+5.99757362942E-001,-2.31294503730E-001,+5.42294566707E-001,
12.9e6,caps hf ps1 0 15 4 47,-5.93257950709E-001,+1.12022100022E-001,+4.65444541022E-001,+5.93833198124E-001,+4.65651266549E-001,+5.93818603656E-001,-2.17912063865E-001,+5.51002601587E-001,
12.9e6,caps hf ps1 0 15 4 48,-5.93967499841E-001,+1.11205320622E-001,+4.66378783378E-001,+5.91967911317E-001,+4.66482340503E-001,+5.92268234069E-001,-2.14085461760E-001,+5.52888244815E-001,
12.9e6,caps hf ps1 0 15 4 63,-5.97216591527E-001,+1.08672389929E-001,+4.71444139529E-001,+5.85942261860E-001,+4.71732637885E-001,+5.84825224446E-001,-1.99585571004E-001,+5.60755038027E-001,
12.9e6,caps hf ps1 0 15 5 0,-5.96957647044E-001,+1.07798110152E-001,+4.71987272047E-001,+5.85113444330E-001,+4.72367412111E-001,+5.84999504010E-001,-1.98955454275E-001,+5.62093956733E-001,
12.9e6,caps hf ps1 0 15 5 15,-6.00059937410E-001,+1.04778299122E-001,+4.76455331151E-001,+5.79314308482E-001,+4.76652825937E-001,+5.79022793616E-001,-1.84623370766E-001,+5.68605138066E-001,
12.9e6,caps hf ps1 0 15 5 16,-6.00985172234E-001,+1.04915527350E-001,+4.78839254155E-001,+5.77375629821E-001,+4.78019621594E-001,+5.76863106415E-001,-1.81428837285E-001,+5.70849642115E-001,
12.9e6,caps hf ps1 0 15 5 31,-6.03391503553E-001,+1.02494485315E-001,+4.81453678731E-001,+5.71762982873E-001,+4.82307789830E-001,+5.71455524610E-001,-1.68911566873E-001,+5.77003644865E-001,
12.9e6,caps hf ps1 0 15 5 32,-6.04275461140E-001,+1.01594599045E-001,+4.83480875648E-001,+5.68451294501E-001,+4.84553499475E-001,+5.68568315963E-001,-1.61730356676E-001,+5.79865786881E-001,
12.9e6,caps hf ps1 0 15 5 47,-6.07351350367E-001,+9.87775400266E-002,+4.87583674719E-001,+5.63873130989E-001,+4.88380972604E-001,+5.62752241619E-001,-1.49667245786E-001,+5.85919098026E-001,
12.9e6,caps hf ps1 0 15 5 48,-6.08001721746E-001,+9.77357501169E-002,+4.89499972820E-001,+5.61578579662E-001,+4.88980267839E-001,+5.61656544001E-001,-1.46581469753E-001,+5.87581184882E-001,
12.9e6,caps hf ps1 0 15 5 63,-6.10093847151E-001,+9.63930554583E-002,+4.92159925823E-001,+5.56042210627E-001,+4.92084916868E-001,+5.56178641639E-001,-1.33832436384E-001,+5.92343135885E-001,
12.9e6,caps hf ps1 0 15 6 0,-6.10083124444E-001,+9.57955086067E-002,+4.91335080365E-001,+5.56962809382E-001,+4.91975800405E-001,+5.56512577006E-001,-1.36150728670E-001,+5.92326048274E-001,
12.9e6,caps hf ps1 0 15 6 15,-6.12667603293E-001,+9.40753395258E-002,+4.95005058460E-001,+5.52115283422E-001,+4.95549213416E-001,+5.51342246936E-001,-1.24251404451E-001,+5.97292075759E-001,
